Lithology,Tops,Score,Porosity
sandstone,3999.1,400.0,0.214940739
sandstone,4001.6,400.0,0.41476112
sandstone,4004.1,400.0,0.360642921
sandstone,4006.6,400.0,0.321016
sandstone,4009.1,400.0,0.290220925
sandstone,4011.6,400.0,0.284874654
sandstone,4014.1,400.0,0.284377117
sandstone,4016.6,400.0,0.274109418
sandstone,4019.1,400.0,0.246426613
shale,4021.6,420.0,0.192242
shale,4024.1,420.0,0.122187
shale,4026.6,420.0,0.112873881
shale,4029.1,420.0,0.097907625
shale,4031.6,420.0,0.10424938
shale,4034.1,420.0,0.107294443
shale,4036.6,420.0,0.121435546
shale,4039.1,420.0,0.12816926
shale,4041.6,420.0,0.133996058
shale,4044.1,420.0,0.14918994
shale,4046.6,420.0,0.151983819
shale,4049.1,420.0,0.162243219
shale,4051.6,420.0,0.169249087
shale,4054.1,420.0,0.173257943
shale,4056.6,420.0,0.190746823
sandstone,4059.1,400.0,0.195735662
sandstone,4061.6,400.0,0.264091736
sandstone,4064.1,400.0,0.286663845
sandstone,4066.6,400.0,0.333479099
sandstone,4069.1,400.0,0.359449841
sandstone,4071.6,400.0,0.3582537
sandstone,4074.1,400.0,0.321914758
sandstone,4076.6,400.0,0.277334334
sandstone,4079.1,400.0,0.271130217
sandstone,4081.6,400.0,0.252867079
sandstone,4084.1,400.0,0.27725649
sandstone,4086.6,400.0,0.326336991
sandstone,4089.1,400.0,0.40113377
sandstone,4091.6,400.0,0.31352213
sandstone,4094.1,400.0,0.320116921
sandstone,4096.6,400.0,0.373646211
sandstone,4099.1,400.0,0.330134884
shale,4101.6,420.0,0.15306977
shale,4104.1,420.0,0.10299028
shale,4106.6,420.0,0.088499447
shale,4109.1,420.0,0.090438878
shale,4111.6,420.0,0.095610828
shale,4114.1,420.0,0.112426189
shale,4116.6,420.0,0.191339521
sandstone,4119.1,400.0,0.224779617
sandstone,4121.6,400.0,0.335173308
sandstone,4124.1,400.0,0.402355579
sandstone,4126.6,400.0,0.410397859
sandstone,4129.1,400.0,0.414444123
sandstone,4131.6,400.0,0.214066006
sandstone,4134.1,400.0,0.226589753
sandstone,4136.6,400.0,0.200963055
sandstone,4139.1,400.0,0.383037985
sandstone,4141.6,400.0,0.347637063
sandstone,4144.1,400.0,0.349050931
sandstone,4146.6,400.0,0.364762852
sandstone,4149.1,400.0,0.231757698
sandstone,4151.6,400.0,0.276237458
sandstone,4154.1,400.0,0.29035259
sandstone,4156.6,400.0,0.33968421
sandstone,4159.1,400.0,0.452560794
sandstone,4161.6,400.0,0.496788093
sandstone,4164.1,400.0,0.532054074
sandstone,4166.6,400.0,0.398346301
sandstone,4169.1,400.0,0.378273599
sandstone,4171.6,400.0,0.28895509
shale,4174.1,420.0,0.137546
shale,4176.6,420.0,0.108138323
shale,4179.1,420.0,0.0854853
shale,4181.6,420.0,0.0720886
shale,4184.1,420.0,0.063683617
shale,4186.6,420.0,0.054165602
shale,4189.1,420.0,0.046640604
shale,4191.6,420.0,0.044779332
shale,4194.1,420.0,0.050235262
shale,4196.6,420.0,0.068593715
shale,4199.1,420.0,0.104716565
shale,4201.6,420.0,0.120237482
shale,4204.1,420.0,0.150000628
shale,4206.6,420.0,0.137366535
shale,4209.1,420.0,0.12862433
shale,4211.6,420.0,0.121383754
shale,4214.1,420.0,0.117808765
shale,4216.6,420.0,0.115040016
shale,4219.1,420.0,0.106918152
shale,4221.6,420.0,0.102322742
shale,4224.1,420.0,0.105442505
shale,4226.6,420.0,0.130329549
shale,4229.1,420.0,0.148534419
shale,4231.6,420.0,0.176832598
shale,4234.1,420.0,0.186350154
shale,4236.6,420.0,0.189469191
shale,4239.1,420.0,0.177401631
shale,4241.6,420.0,0.173097677
shale,4244.1,420.0,0.178744412
shale,4246.6,420.0,0.176965399
shale,4249.1,420.0,0.175038729
shale,4251.6,420.0,0.158393168
shale,4254.1,420.0,0.155033312
shale,4256.6,420.0,0.144618129
shale,4259.1,420.0,0.143459768
shale,4261.6,420.0,0.141987089
shale,4264.1,420.0,0.138137988
shale,4266.6,420.0,0.136418399
shale,4269.1,420.0,0.134626363
shale,4271.6,420.0,0.132225066
shale,4274.1,420.0,0.128508438
shale,4276.6,420.0,0.127778371
shale,4279.1,420.0,0.132104518
shale,4281.6,420.0,0.138932973
shale,4284.1,420.0,0.147991906
shale,4286.6,420.0,0.164114163
shale,4289.1,420.0,0.168191
shale,4291.6,420.0,0.189309456
shale,4294.1,420.0,0.195347307
shale,4296.6,420.0,0.199407713
shale,4299.1,420.0,0.201377588
sandstone,4301.6,400.0,0.204696553
sandstone,4304.1,400.0,0.204900099
sandstone,4306.6,400.0,0.204719493
sandstone,4309.1,400.0,0.20518318
shale,4311.6,420.0,0.201618587
shale,4314.1,420.0,0.194021532
shale,4316.6,420.0,0.188565
shale,4319.1,420.0,0.180837815
shale,4321.6,420.0,0.179136914
shale,4324.1,420.0,0.177504623
shale,4326.6,420.0,0.17794136
shale,4329.1,420.0,0.189233381
shale,4331.6,420.0,0.200384442
sandstone,4334.1,400.0,0.201966672
sandstone,4336.6,400.0,0.202993446
sandstone,4339.1,400.0,0.204488598
shale,4341.6,420.0,0.203935223
shale,4344.1,420.0,0.196622979
shale,4346.6,420.0,0.196432764
shale,4349.1,420.0,0.196506937
shale,4351.6,420.0,0.196638273
shale,4354.1,420.0,0.198316126
sandstone,4356.6,400.0,0.201767126
sandstone,4359.1,400.0,0.203354809
sandstone,4361.6,400.0,0.203329136
sandstone,4364.1,400.0,0.20040177
sandstone,4366.6,400.0,0.200683841
sandstone,4369.1,400.0,0.20119604
shale,4371.6,420.0,0.199387471
sandstone,4374.1,400.0,0.201553317
shale,4376.6,420.0,0.199316755
shale,4379.1,420.0,0.196470592
sandstone,4381.6,400.0,0.201031012
sandstone,4384.1,400.0,0.210190346
sandstone,4386.6,400.0,0.222719011
sandstone,4389.1,400.0,0.228773262
sandstone,4391.6,400.0,0.240411633
sandstone,4394.1,400.0,0.241790107
sandstone,4396.6,400.0,0.241961779
sandstone,4399.1,400.0,0.236802818
sandstone,4401.6,400.0,0.227782684
sandstone,4404.1,400.0,0.219822912
sandstone,4406.6,400.0,0.212925819
sandstone,4409.1,400.0,0.209610714
sandstone,4411.6,400.0,0.209314551
sandstone,4414.1,400.0,0.232072318
sandstone,4416.6,400.0,0.235361506
sandstone,4419.1,400.0,0.224784261
sandstone,4421.6,400.0,0.221614663
sandstone,4424.1,400.0,0.225212043
sandstone,4426.6,400.0,0.220543174
sandstone,4429.1,400.0,0.220801816
sandstone,4431.6,400.0,0.232418269
sandstone,4434.1,400.0,0.236382314
sandstone,4436.6,400.0,0.241191549
sandstone,4439.1,400.0,0.241441635
sandstone,4441.6,400.0,0.228657295
sandstone,4444.1,400.0,0.225186737
sandstone,4446.6,400.0,0.223638599
sandstone,4449.1,400.0,0.213965923
sandstone,4451.6,400.0,0.210520506
sandstone,4454.1,400.0,0.212865837
sandstone,4456.6,400.0,0.21668696
sandstone,4459.1,400.0,0.215625895
sandstone,4461.6,400.0,0.212631248
sandstone,4464.1,400.0,0.212470669
sandstone,4466.6,400.0,0.201161706
sandstone,4469.1,400.0,0.199718424
sandstone,4471.6,400.0,0.203260684
sandstone,4474.1,400.0,0.205673419
sandstone,4476.6,400.0,0.204547479
sandstone,4479.1,400.0,0.203887
sandstone,4481.6,400.0,0.206727881
sandstone,4484.1,400.0,0.207255313
sandstone,4486.6,400.0,0.209192929
sandstone,4489.1,400.0,0.209895225
sandstone,4491.6,400.0,0.209087658
sandstone,4494.1,400.0,0.207218601
sandstone,4496.6,400.0,0.207365777
sandstone,4499.1,400.0,0.206000359
sandstone,4501.6,400.0,0.204344593
sandstone,4504.1,400.0,0.208647052
