Lithology,Tops,Score,Porosity
sandstone,3959.1,1135.0,0.234895187425946
sandstone,3961.6,1135.0,0.207613688028881
sandstone,3964.1,1135.0,0.228993711227844
sandstone,3966.6,1135.0,0.230736142664738
sandstone,3969.1,1135.0,0.204049377472439
sandstone,3971.6,1135.0,0.22492114330484
sandstone,3974.1,1135.0,0.238301601115061
shale,3976.6,1155.0,0.20230840044116
shale,3979.1,1155.0,0.186581689340897
shale,3981.6,1155.0,0.168564121197363
shale,3984.1,1155.0,0.169845905040821
shale,3986.6,1155.0,0.178804014943921
shale,3989.1,1155.0,0.166592871133789
shale,3991.6,1155.0,0.177841458285424
shale,3994.1,1155.0,0.195303243694336
shale,3996.6,1155.0,0.187318201387147
shale,3999.1,1155.0,0.181869500511934
shale,4001.6,1155.0,0.171778413243907
shale,4004.1,1155.0,0.187112535784858
shale,4006.6,1155.0,0.192215220446128
shale,4009.1,1155.0,0.18105682239332
shale,4011.6,1155.0,0.196116150142173
shale,4014.1,1155.0,0.21205143664959
shale,4016.6,1155.0,0.212754808410769
shale,4019.1,1155.0,0.210693261503038
sandstone,4021.6,1135.0,0.226442815449763
sandstone,4024.1,1135.0,0.218629552835868
sandstone,4026.6,1135.0,0.218506724485454
sandstone,4029.1,1135.0,0.221597738574675
shale,4031.6,1155.0,0.205143585283316
shale,4034.1,1155.0,0.211174034314931
sandstone,4036.6,1135.0,0.209632585263555
sandstone,4039.1,1135.0,0.211931442221042
shale,4041.6,1155.0,0.215686388062449
sandstone,4044.1,1135.0,0.200657320783875
sandstone,4046.6,1135.0,0.219235631059376
shale,4049.1,1155.0,0.185873823805659
shale,4051.6,1155.0,0.198828075462899
shale,4054.1,1155.0,0.206670147548657
shale,4056.6,1155.0,0.195791883416547
shale,4059.1,1155.0,0.180157625194059
shale,4061.6,1155.0,0.18897025365975
shale,4064.1,1155.0,0.196741894076094
sandstone,4066.6,1135.0,0.20726214540714
sandstone,4069.1,1135.0,0.224615828673871
sandstone,4071.6,1135.0,0.244122125512121
sandstone,4074.1,1135.0,0.238214765401392
sandstone,4076.6,1135.0,0.236931935742963
sandstone,4079.1,1135.0,0.210434700310329
sandstone,4081.6,1135.0,0.228697675104086
sandstone,4084.1,1135.0,0.218994984837624
sandstone,4086.6,1135.0,0.236535040654436
sandstone,4089.1,1135.0,0.250388585502027
sandstone,4091.6,1135.0,0.230137623593317
sandstone,4094.1,1135.0,0.23546730965633
sandstone,4096.6,1135.0,0.228847007007882
shale,4099.1,1155.0,0.195035344571003
shale,4101.6,1155.0,0.196920076196226
shale,4104.1,1155.0,0.18507894194266
shale,4106.6,1155.0,0.184216075427209
shale,4109.1,1155.0,0.193738477375071
shale,4111.6,1155.0,0.196181713532047
shale,4114.1,1155.0,0.175250883364241
shale,4116.6,1155.0,0.166193000023722
shale,4119.1,1155.0,0.159260452774919
shale,4121.6,1155.0,0.167330096203053
shale,4124.1,1155.0,0.167318891517481
shale,4126.6,1155.0,0.182874246148115
shale,4129.1,1155.0,0.196448826320772
shale,4131.6,1155.0,0.189883592458163
sandstone,4134.1,1135.0,0.204425307622623
shale,4136.6,1155.0,0.195391497346353
shale,4139.1,1155.0,0.188390617603773
shale,4141.6,1155.0,0.190710822559498
shale,4144.1,1155.0,0.209637038555106
shale,4146.6,1155.0,0.20358542457871
shale,4149.1,1155.0,0.18681009155129
shale,4151.6,1155.0,0.193530809702541
shale,4154.1,1155.0,0.201645450194344
sandstone,4156.6,1135.0,0.214315310717492
shale,4159.1,1155.0,0.215591771585097
sandstone,4161.6,1135.0,0.201407552342821
shale,4164.1,1155.0,0.202287683769297
sandstone,4166.6,1135.0,0.220600626956219
sandstone,4169.1,1135.0,0.195101026977251
shale,4171.6,1155.0,0.202402882515704
shale,4174.1,1155.0,0.205003578181465
shale,4176.6,1155.0,0.203211428261994
shale,4179.1,1155.0,0.201747401027697
sandstone,4181.6,1135.0,0.207158973049862
sandstone,4184.1,1135.0,0.21756268199935
sandstone,4186.6,1135.0,0.202653110370016
sandstone,4189.1,1135.0,0.220466825357322
shale,4191.6,1155.0,0.195608764770327
shale,4194.1,1155.0,0.202575498212056
shale,4196.6,1155.0,0.195152290378842
shale,4199.1,1155.0,0.166843390309719
shale,4201.6,1155.0,0.185827228569286
shale,4204.1,1155.0,0.165085016954797
shale,4206.6,1155.0,0.179265051238746
shale,4209.1,1155.0,0.180986233732132
shale,4211.6,1155.0,0.163065104997077
shale,4214.1,1155.0,0.171880516732178
shale,4216.6,1155.0,0.199790989536031
sandstone,4219.1,1135.0,0.205924347110849
sandstone,4221.6,1135.0,0.205029677098938
sandstone,4224.1,1135.0,0.216606586527303
sandstone,4226.6,1135.0,0.225704280559467
sandstone,4229.1,1135.0,0.222827609411953
sandstone,4231.6,1135.0,0.246227037190224
sandstone,4234.1,1135.0,0.245812958243574
sandstone,4236.6,1135.0,0.246455649032209
sandstone,4239.1,1135.0,0.245722363376523
sandstone,4241.6,1135.0,0.236075425972719
sandstone,4244.1,1135.0,0.24376539293087
sandstone,4246.6,1135.0,0.238811468040804
sandstone,4249.1,1135.0,0.254105624544289
sandstone,4251.6,1135.0,0.245199965450274
sandstone,4254.1,1135.0,0.245079363504268
sandstone,4256.6,1135.0,0.243638723926099
sandstone,4259.1,1135.0,0.237775797305848
sandstone,4261.6,1135.0,0.233758642737963
sandstone,4264.1,1135.0,0.227144034453177
sandstone,4266.6,1135.0,0.214905601576034
sandstone,4269.1,1135.0,0.235348656975248
sandstone,4271.6,1135.0,0.224916546278753
sandstone,4274.1,1135.0,0.230868648215044
sandstone,4276.6,1135.0,0.207740276024004
sandstone,4279.1,1135.0,0.217642059615595
sandstone,4281.6,1135.0,0.221137619725833
sandstone,4284.1,1135.0,0.232007332814596
sandstone,4286.6,1135.0,0.231830743936674
sandstone,4289.1,1135.0,0.209124446583687
sandstone,4291.6,1135.0,0.21058261443667
sandstone,4294.1,1135.0,0.205982571523724
sandstone,4296.6,1135.0,0.203543188581211
sandstone,4299.1,1135.0,0.224167059564313
sandstone,4301.6,1135.0,0.200471898667162
sandstone,4304.1,1135.0,0.211673008001958
sandstone,4306.6,1135.0,0.22744024349553
sandstone,4309.1,1135.0,0.218650292920029
sandstone,4311.6,1135.0,0.218015032285914
sandstone,4314.1,1135.0,0.223408647955773
sandstone,4316.6,1135.0,0.213086895302449
sandstone,4319.1,1135.0,0.217028644033722
sandstone,4321.6,1135.0,0.220164152613466
sandstone,4324.1,1135.0,0.203510240744858
sandstone,4326.6,1135.0,0.198633433203404
sandstone,4329.1,1135.0,0.208304551117192
sandstone,4331.6,1135.0,0.237101893007774
sandstone,4334.1,1135.0,0.241682509409145
sandstone,4336.6,1135.0,0.221670005773314
sandstone,4339.1,1135.0,0.233596114960479
sandstone,4341.6,1135.0,0.239738129870025
sandstone,4344.1,1135.0,0.220870437269511
sandstone,4346.6,1135.0,0.215533200826768
sandstone,4349.1,1135.0,0.223112575012206
sandstone,4351.6,1135.0,0.210990448116658
sandstone,4354.1,1135.0,0.227503279611701
sandstone,4356.6,1135.0,0.221752295883148
shale,4359.1,1155.0,0.213595189294575
shale,4361.6,1155.0,0.188380141230185
shale,4364.1,1155.0,0.185546256854301
sandstone,4366.6,1135.0,0.183048605224107
sandstone,4369.1,1135.0,0.224116937557874
sandstone,4371.6,1135.0,0.253867864382964
sandstone,4374.1,1135.0,0.261190001187033
sandstone,4376.6,1135.0,0.25831350440001
sandstone,4379.1,1135.0,0.207790199375035
sandstone,4381.6,1135.0,0.195161856254163
sandstone,4384.1,1135.0,0.211684355607865
sandstone,4386.6,1135.0,0.188750178851536
sandstone,4389.1,1135.0,0.22145078269401
sandstone,4391.6,1135.0,0.233214196762095
sandstone,4394.1,1135.0,0.221404228082573
sandstone,4396.6,1135.0,0.215829326679583
sandstone,4399.1,1135.0,0.227032196899673
sandstone,4401.6,1135.0,0.206165994309043
sandstone,4404.1,1135.0,0.208616189463392
shale,4406.6,1155.0,0.199203155654979
sandstone,4409.1,1135.0,0.195008981657115
sandstone,4411.6,1135.0,0.221022197677547
sandstone,4414.1,1135.0,0.212909992371482
sandstone,4416.6,1135.0,0.227257060034808
sandstone,4419.1,1135.0,0.260612980923354
sandstone,4421.6,1135.0,0.266553846460795
sandstone,4424.1,1135.0,0.273798662102403
sandstone,4426.6,1135.0,0.313387992529099
sandstone,4429.1,1135.0,0.309655657764776
sandstone,4431.6,1135.0,0.303784879823873
sandstone,4434.1,1135.0,0.283672559224286
sandstone,4436.6,1135.0,0.260495749167726
sandstone,4439.1,1135.0,0.236602419211482
sandstone,4441.6,1135.0,0.227484217351914
sandstone,4444.1,1135.0,0.247265386166179
sandstone,4446.6,1135.0,0.238316378267259
sandstone,4449.1,1135.0,0.20964349609832
sandstone,4451.6,1135.0,0.209272230618969
sandstone,4454.1,1135.0,0.22240949948717
sandstone,4456.6,1135.0,0.21545870298752
sandstone,4459.1,1135.0,0.212751987916911
sandstone,4461.6,1135.0,0.21850121064641
sandstone,4464.1,1135.0,0.202010571063183
sandstone,4466.6,1135.0,0.208767375415011
sandstone,4469.1,1135.0,0.211597260318237
sandstone,4471.6,1135.0,0.204753120551422
sandstone,4474.1,1135.0,0.202582152711429
sandstone,4476.6,1135.0,0.206733970059072
sandstone,4479.1,1135.0,0.223501803715955
sandstone,4481.6,1135.0,0.243077806759602
sandstone,4484.1,1135.0,0.310293958586903
sandstone,4486.6,1135.0,0.314313268091059
sandstone,4489.1,1135.0,0.295046470992458
sandstone,4491.6,1135.0,0.246087026952262
sandstone,4494.1,1135.0,0.224311953109911
sandstone,4496.6,1135.0,0.212499412828932
sandstone,4499.1,1135.0,0.209629840434204
sandstone,4501.6,1135.0,0.19434350902747
shale,4504.1,1155.0,0.186953303066107
shale,4506.6,1155.0,0.205698615636473
sandstone,4509.1,1135.0,0.180821102233684
sandstone,4511.6,1135.0,0.199489089834191
sandstone,4514.1,1135.0,0.225625808257419
sandstone,4516.6,1135.0,0.229967676231318
sandstone,4519.1,1135.0,0.208042232902359
sandstone,4521.6,1135.0,0.213416076515344
sandstone,4524.1,1135.0,0.209768341816286
shale,4526.6,1155.0,0.186762362826039
shale,4529.1,1155.0,0.181729945765696
shale,4531.6,1155.0,0.192512399587697
sandstone,4534.1,1135.0,0.187359915739826
sandstone,4536.6,1135.0,0.200269752442814
sandstone,4539.1,1135.0,0.211020428469488
sandstone,4541.6,1135.0,0.188764051928825
sandstone,4544.1,1135.0,0.214626260833819
shale,4546.6,1155.0,0.18549683201628
shale,4549.1,1155.0,0.177090050418768
shale,4551.6,1155.0,0.182437102056754
shale,4554.1,1155.0,0.149686255858674
shale,4556.6,1155.0,0.140963915689651
shale,4559.1,1155.0,0.146468661690788
shale,4561.6,1155.0,0.146800097968638
shale,4564.1,1155.0,0.14188747947613
shale,4566.6,1155.0,0.15600554946489
shale,4569.1,1155.0,0.171152138925487
shale,4571.6,1155.0,0.175247862945997
sandstone,4574.1,1135.0,0.189455859459754
shale,4576.6,1155.0,0.191935355909303
shale,4579.1,1155.0,0.174864925925367
shale,4581.6,1155.0,0.159791219547519
shale,4584.1,1155.0,0.161114179542086
shale,4586.6,1155.0,0.162046325648751
shale,4589.1,1155.0,0.168391284104064
shale,4591.6,1155.0,0.169768023809593
shale,4594.1,1155.0,0.189686663821503
shale,4596.6,1155.0,0.170898033240956
shale,4599.1,1155.0,0.157084666031738
shale,4601.6,1155.0,0.17103713686846
